stars,review,district,governorate,clean_review,predicted_sentiment
3,"أنا مش راضي على خدمات التموين في البحيرة, ده لو كان أحسن هتبقى فاضي ومفيش حاجة بتمونيش! أنا عايز أكل كويس وبسرعة, ومش عاوز أروح كل يوم عشان أحصل عليه!",مكتب غذاء البحيرة,البحيرة,أنا مش راضي على خدمات التموين في البحيرة ده لو كان أحسن هتبقى فاضي ومفيش حاجة بتمونيش أنا عايز أكل كويس وبسرعة ومش عاوز أروح كل يوم عشان أحصل عليه,سلبي
2,"أنا مش راضي تماما على خدمة التموين في القاهرة, هي بتكون سيئة جدا ومش مظبوطة دائما. أنا بعتبرها خدمة مهمة عشان الناس اللي محتاجة الدعم, بس للأسف ديما بنشوف مشاكل كتير فيها. أتمنى أنهم يطوروا منها للأفضل.",مجلس التعاون الخليجي للوجبات السريعة,القاهرة,أنا مش راضي تماما على خدمة التموين في القاهرة هي بتكون سيئة جدا ومش مظبوطة دائما أنا بعتبرها خدمة مهمة عشان الناس اللي محتاجة الدعم بس للأسف ديما بنشوف مشاكل كتير فيها أتمنى أنهم يطوروا منها للأفضل,سلبي
4,"أنا سعيد جدا بخدمة التموين دي. هي فعلا بتوفر لي الأكل النهاردة وبتخلي ليا فرصة أأكل أكلة صحية ومغذية. بس للأسف, مش دايما بيبقى عندهم كل الحاجات اللي محتاجها الناس, وحاليا مفيش خضروات ولا لحمة, بس الحمد لله على الأقل عندنا أرز ومعكرونة!",جمعية إطعام الأسكندرية,الإسكندرية,أنا سعيد جدا بخدمة التموين دي هي فعلا بتوفر لي الأكل النهاردة وبتخلي ليا فرصة أأكل أكلة صحية ومغذية بس للأسف مش دايما بيبقى عندهم كل الحاجات اللي محتاجها الناس وحاليا مفيش خضروات ولا لحمة بس الحمد لله على الأقل عندنا أرز ومعكرونة,إيجابي
5,"أنا سعيد جدا بالخدمات اللي بتقدمها الدولة, خاصة التموين في محافظتنا. أنا شايف إن الخدمات دي بتحسن كتير وبتحب الناس فعلا. شكرا على كل الجهود.",مكتب الأعمال الغذائية,أسيوط,أنا سعيد جدا بالخدمات اللي بتقدمها الدولة خاصة التموين في محافظتنا أنا شايف إن الخدمات دي بتحسن كتير وبتحب الناس فعلا شكرا على كل الجهود,إيجابي
1,"أنا مش راضيين عن خدمات التموين هنا في الجيزه, دايما بنلاقي نقص في الحاجات الأساسية وبنعاني كتير عشان نقدر نأكل ونعيش. أتمنى أنهم يقدروا يحلوا المشكلة بسرعة قبل ما الوضع يتفاقم أكتر.",مكتب سند التموين,الجيزة,أنا مش راضيين عن خدمات التموين هنا في الجيزه دايما بنلاقي نقص في الحاجات الأساسية وبنعاني كتير عشان نقدر نأكل ونعيش أتمنى أنهم يقدروا يحلوا المشكلة بسرعة قبل ما الوضع يتفاقم أكتر,سلبي
4,أنا سعيد جدا بأن خدمتي التموين كانت جيدة بالنسبة لك! أقدر جهودكم المستمرة لتحسين الخدمات العامة وتقديم أفضل جودة ممكنة للمواطنين المصريين. شكرا جزيلا لكم على تقييمكم الإيجابي وأتمنى أن تستمروا في تقديم تعليقات قيمة تساعدنا على تحسين خدماتنا بشكل أكبر. أتمنى لكم يوما سعيدا ومستقبلا زاهرا.,جمعية مطبخ المنصورة,الدقهلية,أنا سعيد جدا بأن خدمتي التموين كانت جيدة بالنسبة لك أقدر جهودكم المستمرة لتحسين الخدمات العامة وتقديم أفضل جودة ممكنة للمواطنين المصريين شكرا جزيلا لكم على تقييمكم الإيجابي وأتمنى أن تستمروا في تقديم تعليقات قيمة تساعدنا على تحسين خدماتنا بشكل أكبر أتمنى لكم يوما سعيدا ومستقبلا زاهرا,إيجابي
1,"أنا مش راضي تماما على خدمتي للتوصيل, هي أصلا بتاخد وقت طويل جدا علشان توصللي الحاجات اللي محتاجاها, وبكده بقت تضيقي أكثر. أتمنى لو يتحسن الوضع قريب.",جمعية طيبة للضيافة,الجيزة,أنا مش راضي تماما على خدمتي للتوصيل هي أصلا بتاخد وقت طويل جدا علشان توصللي الحاجات اللي محتاجاها وبكده بقت تضيقي أكثر أتمنى لو يتحسن الوضع قريب,محايد
3,"أنا مش راضي خالص على خدمة التوصيل, لأنها كانت ضعيفة جدا ومش مظبوطة. كان لازم يوصلوا الحاجات اللي محتاجها الناس قبل الموعد المحدد بساعة واحدة على الأقل.",مكتب التموين السعيد,الفيوم,أنا مش راضي خالص على خدمة التوصيل لأنها كانت ضعيفة جدا ومش مظبوطة كان لازم يوصلوا الحاجات اللي محتاجها الناس قبل الموعد المحدد بساعة واحدة على الأقل,سلبي
3,أنا سعيد جدا بتلقي هذا النوع من التعليقات لأنه يعطيني الفرصة لتحسين خدماتي وتقديم تجربة أفضل للمستخدمين مثلك. شكرا لك على مشاركة تجربتك مع خدمة التموين وأتمنى أن تتحسن الأمور في المستقبل القريب.,مكتب التعاون الغذائي بالمنوفية,المنوفية,أنا سعيد جدا بتلقي هذا النوع من التعليقات لأنه يعطيني الفرصة لتحسين خدماتي وتقديم تجربة أفضل للمستخدمين مثلك شكرا لك على مشاركة تجربتك مع خدمة التموين وأتمنى أن تتحسن الأمور في المستقبل القريب,إيجابي
2,"أنا مش عارف أقول إيه دلوقتي, إحنا بنحصل على خدمات سيئة جدا في مدينة مرسى علم. كل شوية بتتأخر الوجبات ونلاقيها باردة أوي, ومش عارفين احنا بنعمل إزاى عشان نتغلب على المشكلة دي. أتمنى لو الحكومة تقدر تعمل حاجة علشان الناس اللى عايشين هنا فى المحافظة دى.",مكتب زهران للضيافة,مطروح,أنا مش عارف أقول إيه دلوقتي إحنا بنحصل على خدمات سيئة جدا في مدينة مرسى علم كل شوية بتتأخر الوجبات ونلاقيها باردة أوي ومش عارفين احنا بنعمل إزاى عشان نتغلب على المشكلة دي أتمنى لو الحكومة تقدر تعمل حاجة علشان الناس اللى عايشين هنا فى المحافظة دى,سلبي
